C,D,E,F,G,H,I,Q,R,X,Y
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,PLANT1-SURGEBASIN,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,NO,NA,NO,All Groundwater,YES,Remediation Oil,NO
,,,,NO,NA,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK3801-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,yes,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-SPIDERBOXOMD,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,"Spider Sump, Aqueous Layer",NO,"Spider Sump, Oil Layer",NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-CRUDEDOCKSSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,YES,Crude,NO,Crude,NO
,,,,NO,VAC PAD,NO,Crude,NO,Crude,NO
METRO,METRO-EASTOFTHEDITCH,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,All Groundwater,YES
METRO,METRO-WESTOFTHEDITCH,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-NORTHOFTHEFENCELINE,P1N-MONITORINGTRENCHESNORTHOFPOND/SWALE,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-NORTHOFTHEFENCELINE,P1N-SUMPS/WELLS/TRENCHES(CLEANTRUCK),OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,YES,All Groundwater,YES,All Groundwater,YES
PLANT1-UNIT039-FLARE,PLANT1-FLARESUMP,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,YES,VAC PAD,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,NO,NA,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,PLANT1-SURGEBASIN,SLUDGEANDWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Sludge,NO,Sludge,NO
,,,,NO,NA,NO,Sludge,NO,Sludge,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4516,OIL,PLANT1-CENTRIFUGEFRACTANKS,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,TO,NO,TK-4516 Slop Oil Tank,NO,TK-4516 Slop Oil Tank,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4508-DGF,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,VAC PAD,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK26-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,NO,CRUDE,NO,CRUDE,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK20-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,YES,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,NO,VAC PAD,NO,Tank 20 Water Draw,NO,Tank 20 Water Draw,NO
PLANT1-UNIT039-FLARE,PLANT1-DRUMD-322CONTAINMENT-STORMWATER/WATER,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4508-DGF,WATER,PLANT1-VACPAD,YES,VAC PAD,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,VAC PAD,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
CRUDEDOCKSUNLOADING,CRUDEDOCKS-UNDERGROUNDTANK-TANK101,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,YES,T-101 Underground Storage Tank Aqueous,YES,T-101 Underground Storage Tank Oil,NO
,,,,YES,VAC PAD,NO,T-101 Underground Storage Tank Aqueous,YES,T-101 Underground Storage Tank Oil,NO
,,,,NO,NA,YES,T-101 Underground Storage Tank Aqueous,YES,T-101 Underground Storage Tank Oil,NO
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-AUGASOILPADPUMPCONTAINMENT,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Gas Oil,NO,Gas Oil,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4504-DGF,OIL,PLANT1-CENTRIFUGEFRACTANKS,YES,TO,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,TO,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK72-SUMP/WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,YES,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
