,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/03/2013,LV-3,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,PLANT 1 - SURGE BASIN,WATER,PLANT 1 - 4TH LAGOON,NO,4th Lagoon,NO,YES,240,10080,99%,99.5%,1,2.42,All Groundwater,NO,37935,0.09,1%,0.76,12833.75,Remediation Oil,NO,146,1.87,YES,38.08,51.53,<0.001,<0.001,<0.001,
01/01/2013,LV-7,PLANT 2 - UNIT 070 - WASTE WATER,PLANT 1 - SURGE BASIN,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,64,2688,>90%,90.0%,1,2.51,All Groundwater,YES,9150,0.02,10%,0.76,12833.75,Remediation Oil,YES,777,9.98,YES,9.93,1007.12,<0.011,<0.011,<0.011,
01/01/2013,LV-7,METRO,Metro – East of the ditch AND WBTR Wells Mix,GROUND WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,60,2520,99%,99.0%,1,2.51,All Groundwater,YES,9436,0.02,1%,0.76,12833.75,Remediation Oil,YES,73,0.94,YES,9.51,100.84,<0.001,<0.001,-,
01/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - LAB SUMP,OILY WATER,PLANT 1 - VAC PAD,YES, VAC PAD,NO,NO,100,4200,99%,99.0%,1,27.83,Lab Sump,NO,15727,0.44,1%,0.82,2783.33,Lab Sump,NO,130,0.36,YES,15.86,50.5,<0.001,<0.001,-,
01/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 27 - SLUDGE,WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,60,2520,99%,99.0%,1,4.17,sludge processing,NO,9436,0.04,1%,1.07,417,sludge processing,NO,102,0.04,YES,9.54,8.59,<0.001,<0.001,<0.001,
01/01/2013,LV-5,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,PLANT 1 - SURGE BASIN,IRON SCUM,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,150,6300,99%,99.0%,1,<0.01,Sludge,NO,23590,<0.01,1%,0.96,0.21,Sludge,NO,228,<0.01,YES,23.82,<0.001,<0.001,<0.001,<0.001,Sample taken from 4th Lagoon where the iron scum was dumped out of the basin and into the lagoons.
01/01/2013,LV-5,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,PLANT 1 - SURGE BASIN,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,360,15120,99%,99.0%,1,2.51,All Groundwater,YES,56617,0.14,1%,0.76,12833.75,Remediation Oil,YES,437,5.61,YES,57.05,100.84,<0.011,<0.011,<0.011,
