,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
2013 TAB Data Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)1","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference3,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference3,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)4","Total Waste Quantity 
(Mg/yr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/yr)","Benzene Quantity NO Double Counts
(Mg/yr)",6BQ Quantity (Mg/yr),Notes,Aqueous Flow (Total Gallons)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2014,307164,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE DOCKS SUMP,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,5,210,>90%,99.0%,1.,24.,Crude,NO,786,0.02,1%,0.79,"2,400.",Crude,NO,6,0.02,YES,0.79,42.81,<0.001,-,-,,
01/01/2014,307164,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 57 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,YES,NO,2,84,>90%,95.5%,1.,0.6,Jet,NO,303,<0.01,5%,0.79,60.,Jet,NO,13,<0.01,YES,0.32,2.96,<0.001,-,-,,
01/01/2014,307164,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,YES,NO,2,84,>90%,95.5%,1.,0.6,Jet,NO,303,<0.01,5%,0.79,60.,Jet,NO,13,<0.01,YES,0.32,2.96,<0.001,-,-,,
01/01/2014,307164,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - LPG ETHANOL DRUMS,ETHANOL,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,1,42,<10%,10.0%,1.,-0-,Ethanol,NO,16,-0-,90%,0.79,-0-,Ethanol,NO,113,-0-,YES,0.13,-0.00-,-0.00-,-0.00-,-0.00-,,
01/01/2014,307164,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,50,"2,100",>90%,95.5%,1.,24.,Crude,NO,"7,585",0.18,5%,0.79,"2,400.",Crude,NO,314,0.75,YES,7.9,118.37,<0.001,<0.001,-,,
01/01/2014,307164,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 20 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,YES,NO,10,420,>90%,95.5%,1.,3.13,Slop Oil Tank 20,NO,"1,517",<0.01,5%,0.8,313.,Slop Oil Tank 20,NO,64,0.02,YES,1.58,15.59,<0.001,-,-,,
01/01/2014,307164,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 26 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,YES,NO,20,840,>90%,95.5%,1.,24.,Crude,NO,"3,034",0.07,5%,0.79,"2,400.",Crude,NO,125,0.3,YES,3.16,118.37,<0.001,-,-,,
