,,,,Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,"1.  Manually sum denver truck terminal, T-101, and T-29 oil on this spreadsheet (make sure ""double count"" is ""NO""); input water %, and 6BQ  to the Summary tab; input total waste quantity on Flows tab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,"2.  Change ""double count"" to YES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,"3.  Manually sum TK-4516 and TK-60 slop movements that do NOT go to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"4.  Manually sum movements to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW).",,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
04/03/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
04/03/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
04/07/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
04/10/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
04/12/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,55,"2,310",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"7,863",0.07,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,751,0.86,YES,8.61,107.85,<0.001,-,-,
04/14/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
04/18/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
04/21/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,60,"2,520",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"8,578",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,820,0.94,YES,9.4,107.85,<0.001,-,-,
04/25/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,65,"2,730",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,293",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,888,1.02,YES,10.18,107.85,<0.001,-,-,
04/28/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,57,"2,394",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"8,149",0.07,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,779,0.89,YES,8.93,107.85,<0.001,-,-,
