,,,,Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,"1.  Manually sum denver truck terminal, T-101, and T-29 oil on this spreadsheet (make sure ""double count"" is ""NO""); input water %, and 6BQ  to the Summary tab; input total waste quantity on Flows tab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,"2.  Change ""double count"" to YES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,"3.  Manually sum TK-4516 and TK-60 slop movements that do NOT go to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"4.  Manually sum movements to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW).",,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
07/01/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N - Monitoring Trenches North of Pond/Swale,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,35,"1,470",99%,99.0%,1.,1.69,All Groundwater,NO,"5,504",<0.01,1%,0.78,"5,350.",Remediation Oil,YES,43,0.23,YES,5.55,43.55,<0.001,<0.001,-,
07/01/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N ? Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,4,168,99%,99.0%,1.,1.69,All Groundwater,NO,629,<0.01,1%,0.78,"5,350.",Remediation Oil,YES,5,0.03,YES,0.63,43.55,<0.001,<0.001,-,
07/01/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 1ST LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,8,336,99%,99.0%,1.,<0.01,Fourth Lagoon,NO,"1,258",<0.01,1%,0.85,0.63,Fourth Lagoon,NO,11,<0.01,YES,1.27,0.01,<0.001,<0.001,<0.001,
07/01/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,20,840,99%,90.0%,1.,3.52,TK-60 Equalization Tank Aqueous,NO,"2,859",0.01,10%,0.85,"1,230.",TK-60 Equalization Tank,NO,270,0.33,YES,3.13,109.36,<0.001,<0.001,-,
07/01/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OIL,PLANT 1 - CENTRIFUGE MIX TANKS,YES,TO,NO,NO,6,252,<10%,30.0%,1.,3.52,TK-60 Equalization Tank Aqueous,NO,286,<0.01,70%,0.85,"1,230.",TK-60 Equalization Tank,NO,567,0.7,YES,0.85,818.89,<0.001,<0.001,-,
07/01/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,5,210,99%,99.0%,1.,-0-,Stormwater,NO,786,-0-,1%,0.85,0.03,Stormwater,NO,7,<0.01,YES,0.79,<0.001,<0.001,<0.001,<0.001,
07/01/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - STORAGE FRAC TANKS CONTAINMENTS BY FLARE,SLUDGE,PLANT 1 - CENTRIFUGE MIX TANKS,NO,TO,NO,YES,260,"10,920",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,"4,130",0.04,90%,0.81,"1,543.33",TK-4516 Slop Oil Tank,YES,"30,234",46.66,YES,34.36,"1,359.10",0.05,0.05,0.05,
07/02/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N - Monitoring Trenches North of Pond/Swale,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,25,"1,050",99%,99.0%,1.,1.69,All Groundwater,NO,"3,932",<0.01,1%,0.78,"5,350.",Remediation Oil,YES,31,0.17,YES,3.96,43.55,<0.001,<0.001,-,
07/02/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N ? Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,5,210,99%,99.0%,1.,1.69,All Groundwater,NO,786,<0.01,1%,0.78,"5,350.",Remediation Oil,YES,6,0.03,YES,0.79,43.55,<0.001,<0.001,-,
07/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,20,840,99%,99.0%,1.,<0.01,Fourth Lagoon,YES,"3,145",<0.01,1%,0.85,0.63,Fourth Lagoon,NO,27,<0.01,YES,3.17,0.01,<0.001,<0.001,<0.001,
