,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,4,168,99%,99.0%,1,<0.01,Stormwater,NO,629,<0.01,1%,0.85,0.03,Stormwater,NO,5,<0.01,YES,0.63,<0.001,<0.001,<0.001,<0.001,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OIL,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,7,294,<10%,10.0%,1,3.52,TK-60 Equalization Tank Aqueous,NO,111,<0.01,90%,0.85,"1,230",TK-60 Equalization Tank,NO,851,1.05,YES,0.96,"1,088.21",<0.001,<0.001,-,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - CENTRIFUGE ,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,3,126,99%,99.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,472,<0.01,1%,0.92,510,TK-4516 Slop Oil Tank,YES,4,<0.01,YES,0.48,15.08,<0.001,<0.001,<0.001,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 1ST LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,12,504,99%,99.0%,1,<0.01,Fourth Lagoon,NO,"1,887",<0.01,1%,0.85,1.21,Fourth Lagoon,NO,16,<0.01,YES,1.9,0.02,<0.001,<0.001,<0.001,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,9,378,99%,99.0%,,<0.01,Fourth Lagoon,YES,#VALUE!,#VALUE!,1%,0.85,<0.01,Fourth Lagoon,YES,12,<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,5,210,99%,99.0%,,<0.01,Fourth Lagoon,YES,#VALUE!,#VALUE!,1%,0.85,<0.01,Fourth Lagoon,YES,7,<0.01,YES,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - FRAC TANKS - CENTRIFUGE,OIL,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,60,"2,520",<10%,10.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.92,510,TK-4516 Slop Oil Tank,YES,"7,866",4.01,YES,8.82,456.02,<0.001,<0.001,-,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - FRAC TANKS - CENTRIFUGE,OIL,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,60,"2,520",<10%,10.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.92,510,TK-4516 Slop Oil Tank,YES,"7,866",4.01,YES,8.82,456.02,<0.001,<0.001,-,
10/01/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,YES,NO,65,"2,730",99%,99.0%,,8.5,T-101 Underground Storage Tank Aqueous,YES,#VALUE!,#VALUE!,1%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,89,0.1,YES,#VALUE!,#VALUE!,#VALUE!,-,-,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - FRAC TANKS - CENTRIFUGE,OIL,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,40,"1,680",<10%,10.0%,1,10.5,TK-4516 Slop Oil Tank Aqueous,NO,635,<0.01,90%,0.92,510,TK-4516 Slop Oil Tank,YES,"5,244",2.67,YES,5.88,456.02,<0.001,<0.001,-,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 27 - WATER DRAW,WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,17,714,99%,99.0%,1,4.17,sludge processing,NO,"2,674",0.01,1%,1.07,417,sludge processing,NO,29,0.01,YES,2.7,8.59,<0.001,<0.001,<0.001,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4513 - WATER DRAW,WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,15,630,99%,99.0%,1,4.17,sludge processing,NO,"2,359",<0.01,1%,1.07,417,sludge processing,NO,26,0.01,YES,2.38,8.59,<0.001,<0.001,<0.001,
10/01/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 27 - SLUDGE,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,20,840,<10%,10.0%,1,4.17,sludge processing,NO,318,<0.01,90%,1.07,417,sludge processing,NO,"3,062",1.28,YES,3.38,378.20,<0.001,<0.001,<0.001,
10/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - ETHANOL DRUMS,ETHANOL,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,1,42,<10%,10.0%,1,-0-,Ethanol,NO,16,-0-,90%,0.79,-0-,Ethanol,NO,113,-0-,YES,0.13,-0.00-,-0.00-,-0.00-,-0.00-,
10/01/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 3801 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,60,"2,520",99%,99.0%,1,<0.01,Stormwater,NO,"9,436",<0.01,1%,0.85,0.03,Stormwater,NO,81,<0.01,YES,9.52,<0.001,<0.001,<0.001,<0.001,
10/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 70 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,8,336,>90%,95.5%,1,470,REFORMATE,NO,"1,214",0.57,5%,0.81,"47,000",REFORMATE,NO,46,2.18,YES,1.26,"2,182.68",<0.001,<0.001,-,
10/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 64/65/66 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,10,420,>90%,95.5%,1,0.02,Diesel,NO,"1,517",<0.01,5%,0.86,2,Diesel,NO,61,<0.01,YES,1.58,0.10,<0.001,<0.001,<0.001,
10/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,8,336,>90%,95.5%,1,0.6,Jet,NO,"1,214",<0.01,5%,0.79,60,Jet,NO,45,<0.01,YES,1.26,2.74,<0.001,<0.001,<0.001,
10/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 96/97 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,10,420,>90%,95.5%,1,110.13,Post-GBR Gasoline,NO,"1,517",0.17,5%,0.75,"11,012.5",Post-GBR Gasoline,NO,54,0.59,YES,1.57,482.27,<0.001,<0.001,<0.001,
10/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 72 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,3,126,>90%,95.5%,1,0.1,Ultra Low Sulfur Diesel,NO,455,<0.01,5%,0.84,10,Ultra Low Sulfur Diesel,NO,18,<0.01,YES,0.47,0.48,<0.001,<0.001,<0.001,
10/01/2013,LV-2,PLANT 1 - HEAVY OIL PORTABLE COMPRESSORS,PLANT 1 - HEAVY OIL FUEL CELL,DIESEL,PLANT 2 - TANK 20,YES,Tank 20,NO,NO,35,"1,470",<10%,10.0%,1,0.02,Diesel,NO,556,<0.01,90%,0.86,2,Diesel,NO,"4,303",<0.01,YES,4.86,1.77,<0.001,<0.001,-,
10/01/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,70,"2,940",>90%,95.5%,1,0.1,Ultra Low Sulfur Diesel,NO,"10,620",<0.01,5%,0.84,10,Ultra Low Sulfur Diesel,NO,420,<0.01,YES,11.04,0.48,<0.001,<0.001,<0.001,
10/01/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 3801 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,30,"1,260",99%,99.0%,1,<0.01,Stormwater,NO,"4,718",<0.01,1%,0.85,0.03,Stormwater,NO,41,<0.01,YES,4.76,<0.001,<0.001,<0.001,<0.001,
10/01/2013,LV-1,PLANT 2 - STORMWATER,PLANT 2 - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,550,"23,100",99%,99.0%,1,<0.01,Stormwater,NO,"86,498",<0.01,1%,0.85,0.03,Stormwater,NO,743,<0.01,YES,87.24,<0.001,<0.001,<0.001,<0.001,
