date,vacuum_truck_number,unit,vacuum_truck_movement_description,vacuum_truck_material_description,offload_sitewaste_destination,controlled_yes_no,destination_benzene_control_description,,,total_waste_quantity_bbls,,vac_truck_log_water_content
09/01/2013,LV-1,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1.5,,99%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,0.75,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,12,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank 29 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,9,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sump 29 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,1,,<10%
09/02/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,28,,<10%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,80,,>90%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 58 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,>90%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/02/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - LIQUID UNDERGROUND STORAGE TANK,GASOLINE,PLANT 2 - TANK 20,,TANK 20,,,10,,<10%
09/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 20 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/02/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/03/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4516 - SLUDGE,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,360,,<10%
09/03/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,55,,>90%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 776 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,>90%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SPIDER BOX OMD,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,>90%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 52 - PUMP CONTAINMENT,WASH WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - ETHANOL DRUMS,ETHANOL,PLANT 1 - VAC PAD,,VAC PAD,,,1,,<10%
09/03/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 72 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,>90%
